year,avg_module_eff_pct,module_price_usd_per_w,source
2010,14.0,1.80,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2012,14.7,0.90,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2014,15.6,0.65,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2016,16.5,0.45,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2018,17.5,0.32,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2020,19.5,0.24,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2022,21.0,0.22,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
2024,22.2,0.12,Fraunhofer ISE Photovoltaics Report 2024 / ITRPV
